delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,key_resp.keys,key_resp.rt,sound_1.started,text.started,textbox.started,button.started,textbox.text,button.numClicks,button.timesOn,button.timesOff,sound_1.stopped,participant,session,date,expName,psychopyVersion,frameRate
0.7,1000,exp,1,3,15,8,102.81408991687931,103.79876495804638,103.79876495804638,103.80647479183972,space,1.8846887911204249,106.39872116671565,106.86053812503815,106.86053812503815,106.86053812503815,149,16,"[6.970356540987268, 1.3543444590177387, 2.5093380000907928, 1.6533958341460675, 1.2592608330305666, 3.3938830827828497, 1.2697460828348994, 1.975330375134945, 6.219619625015184, 2.718223250005394, 1.7921304169576615, 1.68609350011684, 2.2686470421031117, 4.776966624893248, 2.385246125049889, 2.1420566660817713]","[6.970359040889889, 1.3543465421535075, 2.509340250166133, 1.6533978341612965, 1.259263041894883, 3.393885707948357, 1.2697479999624193, 1.9753325839992613, 6.2196223749779165, 2.718225250020623, 1.7921325420029461, 1.6860957089811563, 2.26864904188551, 4.776968624908477, 2.3852483751252294, 2.142058749916032]",,964143,001,2023-10-27_12h00.37.384,tutorial7_intentional_binding,2022.2.4,None
0.1,1000,exp,1,4,16,3,108.99756733304821,109.98208608292043,109.98208608292043,109.98999374988489,space,0.8348931660875678,110.9317624166763,111.39346816693433,111.39346816693433,111.39346816693433,287,17,"[6.970356540987268, 1.3543444590177387, 2.5093380000907928, 1.6533958341460675, 1.2592608330305666, 3.3938830827828497, 1.2697460828348994, 1.975330375134945, 6.219619625015184, 2.718223250005394, 1.7921304169576615, 1.68609350011684, 2.2686470421031117, 4.776966624893248, 2.385246125049889, 2.1420566660817713, 3.492726792115718]","[6.970359040889889, 1.3543465421535075, 2.509340250166133, 1.6533978341612965, 1.259263041894883, 3.393885707948357, 1.2697479999624193, 1.9753325839992613, 6.2196223749779165, 2.718225250020623, 1.7921325420029461, 1.6860957089811563, 2.26864904188551, 4.776968624908477, 2.3852483751252294, 2.142058749916032, 3.492729000048712]",,964143,001,2023-10-27_12h00.37.384,tutorial7_intentional_binding,2022.2.4,None
0.4,1000,exp,1,5,17,7,114.88104904186912,115.86548162484542,115.86548162484542,115.87321858294308,space,0.5588054161053151,116.83922183356869,117.29837337485515,117.29837337485515,117.29837337485515,56,18,"[6.970356540987268, 1.3543444590177387, 2.5093380000907928, 1.6533958341460675, 1.2592608330305666, 3.3938830827828497, 1.2697460828348994, 1.975330375134945, 6.219619625015184, 2.718223250005394, 1.7921304169576615, 1.68609350011684, 2.2686470421031117, 4.776966624893248, 2.385246125049889, 2.1420566660817713, 3.492726792115718, 1.5364163341000676]","[6.970359040889889, 1.3543465421535075, 2.509340250166133, 1.6533978341612965, 1.259263041894883, 3.393885707948357, 1.2697479999624193, 1.9753325839992613, 6.2196223749779165, 2.718225250020623, 1.7921325420029461, 1.6860957089811563, 2.26864904188551, 4.776968624908477, 2.3852483751252294, 2.142058749916032, 3.492729000048712, 1.53641829197295]",117.29837337485515,964143,001,2023-10-27_12h00.37.384,tutorial7_intentional_binding,2022.2.4,None
0.7,1000,exp,1,6,18,5,118.8310346249491,119.81567408284172,119.81567408284172,119.82385695795529,space,0.9243684581015259,121.45544958353663,121.91718516685069,121.91718516685069,121.91718516685069,98,19,"[6.970356540987268, 1.3543444590177387, 2.5093380000907928, 1.6533958341460675, 1.2592608330305666, 3.3938830827828497, 1.2697460828348994, 1.975330375134945, 6.219619625015184, 2.718223250005394, 1.7921304169576615, 1.68609350011684, 2.2686470421031117, 4.776966624893248, 2.385246125049889, 2.1420566660817713, 3.492726792115718, 1.5364163341000676, 1.352109625004232]","[6.970359040889889, 1.3543465421535075, 2.509340250166133, 1.6533978341612965, 1.259263041894883, 3.393885707948357, 1.2697479999624193, 1.9753325839992613, 6.2196223749779165, 2.718225250020623, 1.7921325420029461, 1.6860957089811563, 2.26864904188551, 4.776968624908477, 2.3852483751252294, 2.142058749916032, 3.492729000048712, 1.53641829197295, 1.352111625019461]",,964143,001,2023-10-27_12h00.37.384,tutorial7_intentional_binding,2022.2.4,None
0.1,1000,exp,1,7,19,6,123.26444175001234,124.25593879190274,124.25593879190274,124.25593879190274,space,0.8978127080481499,125.26543391665133,125.72406070795842,125.72406070795842,125.72406070795842,417,20,"[6.970356540987268, 1.3543444590177387, 2.5093380000907928, 1.6533958341460675, 1.2592608330305666, 3.3938830827828497, 1.2697460828348994, 1.975330375134945, 6.219619625015184, 2.718223250005394, 1.7921304169576615, 1.68609350011684, 2.2686470421031117, 4.776966624893248, 2.385246125049889, 2.1420566660817713, 3.492726792115718, 1.5364163341000676, 1.352109625004232, 4.193853541044518]","[6.970359040889889, 1.3543465421535075, 2.509340250166133, 1.6533978341612965, 1.259263041894883, 3.393885707948357, 1.2697479999624193, 1.9753325839992613, 6.2196223749779165, 2.718225250020623, 1.7921325420029461, 1.6860957089811563, 2.26864904188551, 4.776968624908477, 2.3852483751252294, 2.142058749916032, 3.492729000048712, 1.53641829197295, 1.352111625019461, 4.1938554579392076]",,964143,001,2023-10-27_12h00.37.384,tutorial7_intentional_binding,2022.2.4,None
0.4,1000,exp,1,8,20,10,129.91508983285166,130.89753166702576,130.89753166702576,130.90503566688858,space,0.6277163331396878,131.93912512466002,132.39958645799197,132.39958645799197,132.39958645799197,500,21,"[6.970356540987268, 1.3543444590177387, 2.5093380000907928, 1.6533958341460675, 1.2592608330305666, 3.3938830827828497, 1.2697460828348994, 1.975330375134945, 6.219619625015184, 2.718223250005394, 1.7921304169576615, 1.68609350011684, 2.2686470421031117, 4.776966624893248, 2.385246125049889, 2.1420566660817713, 3.492726792115718, 1.5364163341000676, 1.352109625004232, 4.193853541044518, 3.0355805419385433]","[6.970359040889889, 1.3543465421535075, 2.509340250166133, 1.6533978341612965, 1.259263041894883, 3.393885707948357, 1.2697479999624193, 1.9753325839992613, 6.2196223749779165, 2.718225250020623, 1.7921325420029461, 1.6860957089811563, 2.26864904188551, 4.776968624908477, 2.3852483751252294, 2.142058749916032, 3.492729000048712, 1.53641829197295, 1.352111625019461, 4.1938554579392076, 3.0355830418411642]",,964143,001,2023-10-27_12h00.37.384,tutorial7_intentional_binding,2022.2.4,None
0.1,1000,exp,1,11,23,9,145.18143158289604,146.16610433300957,146.16610433300957,146.1733524168376,space,1.9544340420980006,148.23232366663095,148.6920234579593,148.6920234579593,148.6920234579593,876,24,"[6.970356540987268, 1.3543444590177387, 2.5093380000907928, 1.6533958341460675, 1.2592608330305666, 3.3938830827828497, 1.2697460828348994, 1.975330375134945, 6.219619625015184, 2.718223250005394, 1.7921304169576615, 1.68609350011684, 2.2686470421031117, 4.776966624893248, 2.385246125049889, 2.1420566660817713, 3.492726792115718, 1.5364163341000676, 1.352109625004232, 4.193853541044518, 3.0355805419385433, 2.7700699171982706, 1.0352732909377664, 1.4440024169161916]","[6.970359040889889, 1.3543465421535075, 2.509340250166133, 1.6533978341612965, 1.259263041894883, 3.393885707948357, 1.2697479999624193, 1.9753325839992613, 6.2196223749779165, 2.718225250020623, 1.7921325420029461, 1.6860957089811563, 2.26864904188551, 4.776968624908477, 2.3852483751252294, 2.142058749916032, 3.492729000048712, 1.53641829197295, 1.352111625019461, 4.1938554579392076, 3.0355830418411642, 2.7700720001012087, 1.0352754998020828, 1.444004459073767]",,964143,001,2023-10-27_12h00.37.384,tutorial7_intentional_binding,2022.2.4,None
0.4,1000,exp,2,0,24,10,150.1319402079098,151.11609112494625,151.11609112494625,151.12345120799728,space,1.6428485412616283,153.16589979158405,153.6275538748596,153.6275538748596,153.6275538748596,345,25,"[6.970356540987268, 1.3543444590177387, 2.5093380000907928, 1.6533958341460675, 1.2592608330305666, 3.3938830827828497, 1.2697460828348994, 1.975330375134945, 6.219619625015184, 2.718223250005394, 1.7921304169576615, 1.68609350011684, 2.2686470421031117, 4.776966624893248, 2.385246125049889, 2.1420566660817713, 3.492726792115718, 1.5364163341000676, 1.352109625004232, 4.193853541044518, 3.0355805419385433, 2.7700699171982706, 1.0352732909377664, 1.4440024169161916, 0.8097910000942647]","[6.970359040889889, 1.3543465421535075, 2.509340250166133, 1.6533978341612965, 1.259263041894883, 3.393885707948357, 1.2697479999624193, 1.9753325839992613, 6.2196223749779165, 2.718225250020623, 1.7921325420029461, 1.6860957089811563, 2.26864904188551, 4.776968624908477, 2.3852483751252294, 2.142058749916032, 3.492729000048712, 1.53641829197295, 1.352111625019461, 4.1938554579392076, 3.0355830418411642, 2.7700720001012087, 1.0352754998020828, 1.444004459073767, 0.8097929160576314]",,964143,001,2023-10-27_12h00.37.384,tutorial7_intentional_binding,2022.2.4,None
0.4,1000,exp,2,1,25,7,154.43153029191308,155.42309520789422,155.42309520789422,155.42309520789422,space,1.2107951240614057,157.04956312460516,157.51176133286208,157.51176133286208,157.51176133286208,468,26,"[6.970356540987268, 1.3543444590177387, 2.5093380000907928, 1.6533958341460675, 1.2592608330305666, 3.3938830827828497, 1.2697460828348994, 1.975330375134945, 6.219619625015184, 2.718223250005394, 1.7921304169576615, 1.68609350011684, 2.2686470421031117, 4.776966624893248, 2.385246125049889, 2.1420566660817713, 3.492726792115718, 1.5364163341000676, 1.352109625004232, 4.193853541044518, 3.0355805419385433, 2.7700699171982706, 1.0352732909377664, 1.4440024169161916, 0.8097910000942647, 1.408856000052765]","[6.970359040889889, 1.3543465421535075, 2.509340250166133, 1.6533978341612965, 1.259263041894883, 3.393885707948357, 1.2697479999624193, 1.9753325839992613, 6.2196223749779165, 2.718225250020623, 1.7921325420029461, 1.6860957089811563, 2.26864904188551, 4.776968624908477, 2.3852483751252294, 2.142058749916032, 3.492729000048712, 1.53641829197295, 1.352111625019461, 4.1938554579392076, 3.0355830418411642, 2.7700720001012087, 1.0352754998020828, 1.444004459073767, 0.8097929160576314, 1.4088582501281053]",,964143,001,2023-10-27_12h00.37.384,tutorial7_intentional_binding,2022.2.4,None
0.7,1000,exp,2,3,27,11,165.6817564580124,166.66571087483317,166.66571087483317,166.67080045794137,space,1.1915551251731813,168.5702794585998,169.03167174989358,169.03167174989358,169.03167174989358,1,28,"[6.970356540987268, 1.3543444590177387, 2.5093380000907928, 1.6533958341460675, 1.2592608330305666, 3.3938830827828497, 1.2697460828348994, 1.975330375134945, 6.219619625015184, 2.718223250005394, 1.7921304169576615, 1.68609350011684, 2.2686470421031117, 4.776966624893248, 2.385246125049889, 2.1420566660817713, 3.492726792115718, 1.5364163341000676, 1.352109625004232, 4.193853541044518, 3.0355805419385433, 2.7700699171982706, 1.0352732909377664, 1.4440024169161916, 0.8097910000942647, 1.408856000052765, 1.9361261250451207, 2.3883316670544446]","[6.970359040889889, 1.3543465421535075, 2.509340250166133, 1.6533978341612965, 1.259263041894883, 3.393885707948357, 1.2697479999624193, 1.9753325839992613, 6.2196223749779165, 2.718225250020623, 1.7921325420029461, 1.6860957089811563, 2.26864904188551, 4.776968624908477, 2.3852483751252294, 2.142058749916032, 3.492729000048712, 1.53641829197295, 1.352111625019461, 4.1938554579392076, 3.0355830418411642, 2.7700720001012087, 1.0352754998020828, 1.444004459073767, 0.8097929160576314, 1.4088582501281053, 1.9361284170299768, 2.3883338749874383]",,964143,001,2023-10-27_12h00.37.384,tutorial7_intentional_binding,2022.2.4,None
0.7,1000,exp,2,5,29,8,177.36496916692704,178.3498527,178.3498527,178.36692920792848,space,0.46691149892285466,179.5209509586605,179.98053850000724,179.98053850000724,179.98053850000724,456,30,"[6.970356540987268, 1.3543444590177387, 2.5093380000907928, 1.6533958341460675, 1.2592608330305666, 3.3938830827828497, 1.2697460828348994, 1.975330375134945, 6.219619625015184, 2.718223250005394, 1.7921304169576615, 1.68609350011684, 2.2686470421031117, 4.776966624893248, 2.385246125049889, 2.1420566660817713, 3.492726792115718, 1.5364163341000676, 1.352109625004232, 4.193853541044518, 3.0355805419385433, 2.7700699171982706, 1.0352732909377664, 1.4440024169161916, 0.8097910000942647, 1.408856000052765, 1.9361261250451207, 2.3883316670544446, 1.6533445841632783, 1.220898959087208]","[6.970359040889889, 1.3543465421535075, 2.509340250166133, 1.6533978341612965, 1.259263041894883, 3.393885707948357, 1.2697479999624193, 1.9753325839992613, 6.2196223749779165, 2.718225250020623, 1.7921325420029461, 1.6860957089811563, 2.26864904188551, 4.776968624908477, 2.3852483751252294, 2.142058749916032, 3.492729000048712, 1.53641829197295, 1.352111625019461, 4.1938554579392076, 3.0355830418411642, 2.7700720001012087, 1.0352754998020828, 1.444004459073767, 0.8097929160576314, 1.4088582501281053, 1.9361284170299768, 2.3883338749874383, 1.6533465420361608, 1.220900959102437]",,964143,001,2023-10-27_12h00.37.384,tutorial7_intentional_binding,2022.2.4,None
0.4,1000,exp,2,6,30,4,181.19862899999134,182.18267829203978,182.18267829203978,182.19045937503688,space,2.5180875002406538,185.12351016659912,185.5847212499939,185.5847212499939,185.5847212499939,87,31,"[6.970356540987268, 1.3543444590177387, 2.5093380000907928, 1.6533958341460675, 1.2592608330305666, 3.3938830827828497, 1.2697460828348994, 1.975330375134945, 6.219619625015184, 2.718223250005394, 1.7921304169576615, 1.68609350011684, 2.2686470421031117, 4.776966624893248, 2.385246125049889, 2.1420566660817713, 3.492726792115718, 1.5364163341000676, 1.352109625004232, 4.193853541044518, 3.0355805419385433, 2.7700699171982706, 1.0352732909377664, 1.4440024169161916, 0.8097910000942647, 1.408856000052765, 1.9361261250451207, 2.3883316670544446, 1.6533445841632783, 1.220898959087208, 1.768879208015278]","[6.970359040889889, 1.3543465421535075, 2.509340250166133, 1.6533978341612965, 1.259263041894883, 3.393885707948357, 1.2697479999624193, 1.9753325839992613, 6.2196223749779165, 2.718225250020623, 1.7921325420029461, 1.6860957089811563, 2.26864904188551, 4.776968624908477, 2.3852483751252294, 2.142058749916032, 3.492729000048712, 1.53641829197295, 1.352111625019461, 4.1938554579392076, 3.0355830418411642, 2.7700720001012087, 1.0352754998020828, 1.444004459073767, 0.8097929160576314, 1.4088582501281053, 1.9361284170299768, 2.3883338749874383, 1.6533465420361608, 1.220900959102437, 1.7688813752029091]",,964143,001,2023-10-27_12h00.37.384,tutorial7_intentional_binding,2022.2.4,None
